symbol,date,gap_percent,bar_count,reason,pattern_strength,pattern_count,patterns_detected,step_up_detected,step_up_count,step_up_retention,step_up_total_advance,step_up_strength,parabolic_detected,parabolic_angle,parabolic_accel,parabolic_vol_mult,parabolic_strength,breakout_detected,breakout_level,breakout_range_size,breakout_vol_ratio,breakout_strength,volume_trend,volume_avg,volume_recent,volume_high_correlation,volume_strength,sr_current_price,sr_support_levels,sr_resistance_levels,sr_strength
ARBB,2024-01-03,-11.739130434782611,199,"pattern_invalid:low_score(-2.2),step_ups(0),angle(0.1°),breakout_vol(0.0x)",-2.196894005212859,0,,False,0,0.0,0.0,0.0,False,0.1370709813546574,-0.0002930835849356416,0.05342599630795961,0,False,2.235,0.18500000000000005,0.0413582934262081,0,decreasing,323.3666666666667,55.8,-89.29192006950478,-44.64596003475239,2.14,1,1,30
PRFX,2024-01-03,-16.38795986622074,130,"pattern_invalid:low_score(7.5),retention(22.2%),angle(-0.0°),breakout_vol(0.4x)",7.5,0,,False,2,22.22222222222266,0.0900000000000003,31.111111111111327,False,-0.04493785707029407,-0.0009295139440648351,0.18561928512053202,0,False,2.77,0.2698999999999998,0.35808518658122884,0,decreasing,475.43333333333334,173.4,100.0,50.0,2.53,1,1,0
DDC,2024-01-03,24.724061810154527,113,"pattern_invalid:low_score(-2.0),retention(0.0%),angle(0.0°),breakout_vol(0.2x)",-2.007159708668107,0,,False,2,0.0,0.009999999999999787,20.0,False,0.012455604045762217,0.000877016129032264,0.7898907689012636,0,False,4.63,0.11000000000000032,0.19124259145718372,0,increasing,1671.4,2403.2,-99.94216310005784,-43.38106472445405,4.61,1,0,30
DDC,2024-01-09,-13.24675324675325,161,"pattern_invalid:low_score(-5.2),step_ups(1),angle(0.1°),breakout_vol(0.1x)",-5.226643218289734,0,,False,1,91.66666666666649,0.1200000000000001,55.83333333333324,False,0.1416651002216749,0.00012533966311775014,1.2709961749542658,0,False,3.74,0.3250000000000002,0.08550781080964126,0,stable,910.3666666666667,1175.0,-99.68857624386312,-34.84428812193156,3.73,0,1,0
DDC,2024-01-10,11.501597444089468,160,"pattern_invalid:low_score(-3.0),step_ups(1),angle(0.0°),breakout_vol(0.4x)",-2.9714146777415618,0,,False,1,0.0,0.0,10.0,False,0.0,0.0005722831916415173,0.666330910046422,0,False,3.25,0.18999999999999995,0.4214729370008873,0,decreasing,1268.3,1290.4,-99.6188623698875,-49.80943118494375,3.13,1,1,30
FLUX,2024-01-03,-16.898608349900606,201,"pattern_invalid:low_score(-0.2),retention(47.8%),angle(-0.1°)",-0.214027122579677,0,,False,3,47.8378378378376,0.3699999999999992,53.9189189189188,False,-0.10821322093933038,-0.002114791732877799,3.5534804753820035,0,False,5.3,0.5199999999999996,57.46780303030303,0,increasing,357.6,1665.6,-83.6873774143147,-1.4268474838645133,5.1999,0,2,0
HYMC,2024-01-03,14.800000000000004,253,"pattern_invalid:low_score(10.8),step_ups(1),angle(-0.1°),breakout_vol(0.5x)",10.766707035120554,0,,False,1,0.0,0.029999999999999805,10.0,False,-0.14584348740768974,-3.555537899253314e-05,0.7236842105263158,0,False,2.82,0.20999999999999996,0.45454545454545453,0,increasing,21.833333333333332,28.4,64.84641638225257,41.7780469008037,2.68,1,1,30
MKTW,2024-01-03,-11.313868613138688,197,"pattern_invalid:low_score(2.9),retention(0.0%),angle(-0.0°),breakout_vol(0.1x)",2.9474870381615204,0,,False,2,0.0,0.0,20.0,False,-0.021220658108610888,-0.000641537223899575,0.9233253864492809,0,False,2.76,0.09999999999999964,0.11168586879849518,0,stable,833.6333333333333,786.2,9.299827175486941,19.64991358774347,2.69,1,1,0
HUMA,2024-01-04,-10.104529616724738,246,"pattern_invalid:low_score(-7.3),retention(0.0%),angle(-0.1°),breakout_vol(0.3x)",-7.3498490485484265,0,,False,2,0.0,0.03000000000000025,20.0,False,-0.09514050584334303,-0.00019984506594629577,0.5252248910321803,0,False,2.72,0.06000000000000005,0.33788353162179086,0,decreasing,1096.4333333333334,793.4,-97.99798731397902,-48.99899365698951,2.665,1,1,0
EKSO,2024-01-04,21.072796934865913,123,"pattern_invalid:low_score(-5.8),step_ups(1),angle(-0.1°)",-5.781371313316854,0,,False,1,0.0,0.05400000000000027,10.0,False,-0.0859436048119591,0.0007134996225965362,1.2068199180498644,0,False,2.724,0.10899999999999999,2.027297381407549,0,increasing,1059.2,2010.8,-99.91187763580285,-38.54247542211236,2.6201,2,2,0
EKSO,2024-01-11,15.384615384615378,332,"pattern_invalid:low_score(-0.0),retention(0.0%),angle(-1.4°)",-0.037696905344274965,0,,False,2,0.0,0.06000000000000005,20.0,False,-1.3758350036636442,-0.0010816085332909576,4.7038089823763505,0,False,2.33,0.75,2.488831936213003,0,increasing,2341.0333333333333,10997.6,-89.0160935311437,-0.25131270229516645,1.74,0,0,0
ACON,2024-01-04,1220.2042304886945,416,"pattern_invalid:low_score(4.9),retention(0.0%),angle(-0.1°),breakout_vol(0.3x)",4.888776886813903,0,,False,2,0.0,0.9300000000000006,20.0,False,-0.0753891400627433,-0.001956152669632926,0.4117465910754583,0,False,5.4,1.4300000000000002,0.33491210565753465,0,decreasing,9321.433333333332,3520.2,65.18369182418537,32.59184591209269,4.5,0,0,0
