symbol,exit_price,pnl,pct,reason,line
TENX,18.05,-5.7,-5.00%,stop_loss,"2025-11-17 19:22:10,621 INFO core.backtester - [EXIT] TENX | Price: $18.05 | P&L: $-5.70 (-5.00%) | Reason: stop_loss component=intraday_bt"
BEEP,5.1,-6.18,-5.00%,stop_loss,"2025-11-17 19:22:10,755 INFO core.backtester - [EXIT] BEEP | Price: $5.10 | P&L: $-6.18 (-5.00%) | Reason: stop_loss component=intraday_bt"
DDC,5.37,-5.93,-5.00%,stop_loss,"2025-11-17 19:22:10,805 INFO core.backtester - [EXIT] DDC | Price: $5.37 | P&L: $-5.93 (-5.00%) | Reason: stop_loss component=intraday_bt"
AEHL,2.44,-6.17,-5.00%,stop_loss,"2025-11-17 19:22:10,850 INFO core.backtester - [EXIT] AEHL | Price: $2.44 | P&L: $-6.17 (-5.00%) | Reason: stop_loss component=intraday_bt"
BBLGW,4.37,-5.98,-5.00%,stop_loss,"2025-11-17 19:22:10,894 INFO core.backtester - [EXIT] BBLGW | Price: $4.37 | P&L: $-5.98 (-5.00%) | Reason: stop_loss component=intraday_bt"
BFRGW,1.04,-12.16,-5.00%,stop_loss,"2025-11-17 19:22:10,937 INFO core.backtester - [EXIT] BFRGW | Price: $1.04 | P&L: $-12.16 (-5.00%) | Reason: stop_loss component=intraday_bt"
OABI,6.73,-5.67,-5.00%,stop_loss,"2025-11-17 19:22:10,987 INFO core.backtester - [EXIT] OABI | Price: $6.73 | P&L: $-5.67 (-5.00%) | Reason: stop_loss component=intraday_bt"
HYMC,2.73,-5.88,-5.00%,stop_loss,"2025-11-17 19:22:11,036 INFO core.backtester - [EXIT] HYMC | Price: $2.73 | P&L: $-5.88 (-5.00%) | Reason: stop_loss component=intraday_bt"
MGIH,1.33,-5.88,-5.00%,stop_loss,"2025-11-17 19:22:11,081 INFO core.backtester - [EXIT] MGIH | Price: $1.33 | P&L: $-5.88 (-5.00%) | Reason: stop_loss component=intraday_bt"
MDAI,2.84,-5.83,-5.00%,stop_loss,"2025-11-17 19:22:11,172 INFO core.backtester - [EXIT] MDAI | Price: $2.84 | P&L: $-5.83 (-5.00%) | Reason: stop_loss component=intraday_bt"
VERO,1.16,-5.86,-5.00%,stop_loss,"2025-11-17 19:22:11,216 INFO core.backtester - [EXIT] VERO | Price: $1.16 | P&L: $-5.86 (-5.00%) | Reason: stop_loss component=intraday_bt"
CALC,3.21,-11.66,-5.00%,stop_loss,"2025-11-17 19:22:11,265 INFO core.backtester - [EXIT] CALC | Price: $3.21 | P&L: $-11.66 (-5.00%) | Reason: stop_loss component=intraday_bt"
JSPR,6.65,-5.6,-5.00%,stop_loss,"2025-11-17 19:22:31,119 INFO core.backtester - [EXIT] JSPR | Price: $6.65 | P&L: $-5.60 (-5.00%) | Reason: stop_loss component=intraday_bt"
RVPHW,1.65,-5.74,-5.00%,stop_loss,"2025-11-17 19:22:31,206 INFO core.backtester - [EXIT] RVPHW | Price: $1.65 | P&L: $-5.74 (-5.00%) | Reason: stop_loss component=intraday_bt"
BFRGW,1.14,-11.46,-5.00%,stop_loss,"2025-11-17 19:22:31,249 INFO core.backtester - [EXIT] BFRGW | Price: $1.14 | P&L: $-11.46 (-5.00%) | Reason: stop_loss component=intraday_bt"
EKSO,3.0,-5.53,-5.00%,stop_loss,"2025-11-17 19:22:31,297 INFO core.backtester - [EXIT] EKSO | Price: $3.00 | P&L: $-5.53 (-5.00%) | Reason: stop_loss component=intraday_bt"
LEXX,1.46,-5.62,-5.00%,stop_loss,"2025-11-17 19:22:31,396 INFO core.backtester - [EXIT] LEXX | Price: $1.46 | P&L: $-5.62 (-5.00%) | Reason: stop_loss component=intraday_bt"
TIVC,1.96,-5.56,-5.00%,stop_loss,"2025-11-17 19:22:31,490 INFO core.backtester - [EXIT] TIVC | Price: $1.96 | P&L: $-5.56 (-5.00%) | Reason: stop_loss component=intraday_bt"
BMR,1.83,-5.5,-5.00%,stop_loss,"2025-11-17 19:22:31,541 INFO core.backtester - [EXIT] BMR | Price: $1.83 | P&L: $-5.50 (-5.00%) | Reason: stop_loss component=intraday_bt"
AREC,1.65,-5.48,-5.00%,stop_loss,"2025-11-17 19:22:31,588 INFO core.backtester - [EXIT] AREC | Price: $1.65 | P&L: $-5.48 (-5.00%) | Reason: stop_loss component=intraday_bt"
VINC,1.23,-5.46,-5.00%,stop_loss,"2025-11-17 19:22:31,639 INFO core.backtester - [EXIT] VINC | Price: $1.23 | P&L: $-5.46 (-5.00%) | Reason: stop_loss component=intraday_bt"
SABS,5.94,-5.31,-5.00%,stop_loss,"2025-11-17 19:22:50,591 INFO core.backtester - [EXIT] SABS | Price: $5.94 | P&L: $-5.31 (-5.00%) | Reason: stop_loss component=intraday_bt"
FEAM,1.6,-5.46,-5.00%,stop_loss,"2025-11-17 19:22:50,677 INFO core.backtester - [EXIT] FEAM | Price: $1.60 | P&L: $-5.46 (-5.00%) | Reason: stop_loss component=intraday_bt"
NUKK,2.44,-5.4,-5.00%,stop_loss,"2025-11-17 19:22:50,723 INFO core.backtester - [EXIT] NUKK | Price: $2.44 | P&L: $-5.40 (-5.00%) | Reason: stop_loss component=intraday_bt"
MCFT,24.57,-5.17,-5.00%,stop_loss,"2025-11-17 19:22:50,772 INFO core.backtester - [EXIT] MCFT | Price: $24.57 | P&L: $-5.17 (-5.00%) | Reason: stop_loss component=intraday_bt"
PRFX,2.56,-5.4,-5.00%,stop_loss,"2025-11-17 19:22:50,818 INFO core.backtester - [EXIT] PRFX | Price: $2.56 | P&L: $-5.40 (-5.00%) | Reason: stop_loss component=intraday_bt"
BMRA,1.06,-5.32,-5.00%,stop_loss,"2025-11-17 19:22:50,863 INFO core.backtester - [EXIT] BMRA | Price: $1.06 | P&L: $-5.32 (-5.00%) | Reason: stop_loss component=intraday_bt"
EMP,23.75,-5.0,-5.00%,stop_loss,"2025-11-17 19:22:50,906 INFO core.backtester - [EXIT] EMP | Price: $23.75 | P&L: $-5.00 (-5.00%) | Reason: stop_loss component=intraday_bt"
AEHL,2.17,-5.24,-5.00%,stop_loss,"2025-11-17 19:22:50,948 INFO core.backtester - [EXIT] AEHL | Price: $2.17 | P&L: $-5.24 (-5.00%) | Reason: stop_loss component=intraday_bt"
EAI,23.01,-4.84,-5.00%,stop_loss,"2025-11-17 19:22:50,990 INFO core.backtester - [EXIT] EAI | Price: $23.01 | P&L: $-4.84 (-5.00%) | Reason: stop_loss component=intraday_bt"
BDRX,2.82,-5.2,-5.00%,stop_loss,"2025-11-17 19:22:51,037 INFO core.backtester - [EXIT] BDRX | Price: $2.82 | P&L: $-5.20 (-5.00%) | Reason: stop_loss component=intraday_bt"
YI,1.77,-5.21,-5.00%,stop_loss,"2025-11-17 19:22:51,087 INFO core.backtester - [EXIT] YI | Price: $1.77 | P&L: $-5.21 (-5.00%) | Reason: stop_loss component=intraday_bt"
BFLY,1.09,-5.18,-5.00%,stop_loss,"2025-11-17 19:22:51,134 INFO core.backtester - [EXIT] BFLY | Price: $1.09 | P&L: $-5.18 (-5.00%) | Reason: stop_loss component=intraday_bt"
APM,2.28,-5.04,-5.00%,stop_loss,"2025-11-17 19:22:51,177 INFO core.backtester - [EXIT] APM | Price: $2.28 | P&L: $-5.04 (-5.00%) | Reason: stop_loss component=intraday_bt"
EMP,23.75,-5.0,-5.00%,stop_loss,"2025-11-17 19:23:08,770 INFO core.backtester - [EXIT] EMP | Price: $23.75 | P&L: $-5.00 (-5.00%) | Reason: stop_loss component=intraday_bt"
ZCAR,4.27,-4.95,-5.00%,stop_loss,"2025-11-17 19:23:08,813 INFO core.backtester - [EXIT] ZCAR | Price: $4.27 | P&L: $-4.95 (-5.00%) | Reason: stop_loss component=intraday_bt"
RVSN,1.25,-5.08,-5.00%,stop_loss,"2025-11-17 19:23:08,858 INFO core.backtester - [EXIT] RVSN | Price: $1.25 | P&L: $-5.08 (-5.00%) | Reason: stop_loss component=intraday_bt"
EKSO,2.6,-5.07,-5.00%,stop_loss,"2025-11-17 19:23:08,906 INFO core.backtester - [EXIT] EKSO | Price: $2.60 | P&L: $-5.07 (-5.00%) | Reason: stop_loss component=intraday_bt"
AKA,10.11,-4.79,-5.00%,stop_loss,"2025-11-17 19:23:08,948 INFO core.backtester - [EXIT] AKA | Price: $10.11 | P&L: $-4.79 (-5.00%) | Reason: stop_loss component=intraday_bt"
ESLA,1.22,-4.99,-5.00%,stop_loss,"2025-11-17 19:23:08,992 INFO core.backtester - [EXIT] ESLA | Price: $1.22 | P&L: $-4.99 (-5.00%) | Reason: stop_loss component=intraday_bt"
KORE,1.15,-4.96,-5.00%,stop_loss,"2025-11-17 19:23:09,072 INFO core.backtester - [EXIT] KORE | Price: $1.15 | P&L: $-4.96 (-5.00%) | Reason: stop_loss component=intraday_bt"
HRTX,2.23,-4.94,-5.00%,stop_loss,"2025-11-17 19:23:09,115 INFO core.backtester - [EXIT] HRTX | Price: $2.23 | P&L: $-4.94 (-5.00%) | Reason: stop_loss component=intraday_bt"
DAWN,15.19,-4.8,-5.00%,stop_loss,"2025-11-17 19:23:09,158 INFO core.backtester - [EXIT] DAWN | Price: $15.19 | P&L: $-4.80 (-5.00%) | Reason: stop_loss component=intraday_bt"
TTNP,8.36,-4.84,-5.00%,stop_loss,"2025-11-17 19:23:29,902 INFO core.backtester - [EXIT] TTNP | Price: $8.36 | P&L: $-4.84 (-5.00%) | Reason: stop_loss component=intraday_bt"
STIM,3.32,-4.73,-5.00%,stop_loss,"2025-11-17 19:23:29,951 INFO core.backtester - [EXIT] STIM | Price: $3.32 | P&L: $-4.73 (-5.00%) | Reason: stop_loss component=intraday_bt"
SYTA,4.51,-4.75,-5.00%,stop_loss,"2025-11-17 19:23:29,997 INFO core.backtester - [EXIT] SYTA | Price: $4.51 | P&L: $-4.75 (-5.00%) | Reason: stop_loss component=intraday_bt"
CMPX,2.06,-4.77,-5.00%,stop_loss,"2025-11-17 19:23:30,045 INFO core.backtester - [EXIT] CMPX | Price: $2.06 | P&L: $-4.77 (-5.00%) | Reason: stop_loss component=intraday_bt"
