date,symbol,gap_percent,last_price,volume,passed_screening,stage
2024-01-03,BATL,-100.0,9.59,16149,True,screening_passed
2024-01-03,KTCC,-100.0,4.47,13609,True,screening_passed
2024-01-03,IMTE,-100.0,2.77,16891,True,screening_passed
2024-01-03,LNKB,-100.0,8.0,29879,True,screening_passed
2024-01-03,TAIT,-100.0,3.49,15892,True,screening_passed
2024-01-03,MHH,-100.0,8.4,11204,True,screening_passed
2024-01-03,KALA,-100.0,6.82,19828,True,screening_passed
2024-01-03,LXEH,-100.0,2.13,53157,True,screening_passed
2024-01-03,CLGN,-100.0,6.3,14233,True,screening_passed
2024-01-03,AWX,-100.0,2.38,12700,True,screening_passed
2024-01-03,HEPA,-100.0,3.19,26506,True,screening_passed
2024-01-03,CANF,inf,2.12,19946,True,screening_passed
2024-01-03,RSSS,-100.0,2.75,40420,True,screening_passed
2024-01-03,MGRM,-100.0,3.6,36818,True,screening_passed
2024-01-03,SNAX,-100.0,2.58,31329,True,screening_passed
2024-01-03,PRPH,-100.0,4.83,25048,True,screening_passed
2024-01-03,PPIH,-100.0,8.49,14682,True,screening_passed
2024-01-03,NESR,-100.0,7.0,376184,True,screening_passed
2024-01-03,LANDP,-100.0,18.75,17647,True,screening_passed
2024-01-03,DHCNL,-100.0,15.56,15888,True,screening_passed
2024-01-03,AFRI,-100.0,10.69,55774,True,screening_passed
2024-01-03,FGBI,-100.0,11.53,12099,True,screening_passed
2024-01-03,CMCT,-100.0,4.01,44425,True,screening_passed
2024-01-03,TLSI,-100.0,8.09,23882,True,screening_passed
2024-01-03,VBNK,-100.0,11.19,26852,True,screening_passed
2024-01-03,PROP,-100.0,7.7,20082,True,screening_passed
2024-01-03,TCBIO,-100.0,18.64,22657,True,screening_passed
2024-01-03,QNRX,-100.0,4.81,59819,True,screening_passed
2024-01-03,ECOR,-100.0,6.17,15367,True,screening_passed
2024-01-03,CVU,-100.0,2.6,33671,True,screening_passed
2024-01-03,MRBK,-100.0,13.75,32740,True,screening_passed
2024-01-03,GENK,-100.0,7.9,16596,True,screening_passed
2024-01-03,CSTE,-100.0,3.99,42409,True,screening_passed
2024-01-03,TXO,-100.0,19.12,45293,True,screening_passed
2024-01-03,LZM,-100.0,9.29,20674,True,screening_passed
2024-01-03,OPINL,-100.0,12.94,29687,True,screening_passed
2024-01-03,PRSO,3590.9323116219666,7.75,44306,True,screening_passed
2024-01-03,FLXS,-100.0,19.0,22801,True,screening_passed
2024-01-03,AMS,inf,2.46,35361,True,screening_passed
2024-01-03,GLBZ,-100.0,5.99,17425,True,screening_passed
2024-01-03,TENX,7218.199307425933,15.95,58242,True,screening_passed
2024-01-03,NEXA,-100.0,6.95,39673,True,screening_passed
2024-01-03,FSEA,-100.0,7.7,30316,True,screening_passed
2024-01-03,FEBO,inf,5.31,105974,True,screening_passed
2024-01-03,SJ,-100.0,3.25,27391,True,screening_passed
2024-01-03,OCS,-100.0,11.0,13630,True,screening_passed
2024-01-03,SOHU,-100.0,9.88,110434,True,screening_passed
2024-01-04,ACON,1220.2042304886945,2.92,1557418,True,screening_passed
2024-01-04,IMTE,-100.0,3.09,17405,True,screening_passed
2024-01-04,DIBS,-100.0,4.91,178999,True,screening_passed
2024-01-04,LANDO,-100.0,18.94,23047,True,screening_passed
2024-01-04,CCRD,-100.0,12.57,20140,True,screening_passed
2024-01-04,WHLRD,-100.0,13.64,29394,True,screening_passed
2024-01-04,SQNS,-100.0,2.81,38115,True,screening_passed
2024-01-04,FRD,-100.0,15.52,31752,True,screening_passed
2024-01-04,ALOT,-100.0,16.85,11264,True,screening_passed
2024-01-04,IZM,-100.0,10.53,376580,True,screening_passed
2024-01-04,CNF,-100.0,2.19,11841,True,screening_passed
2024-01-04,AWX,-100.0,2.09,11231,True,screening_passed
2024-01-04,CINT,-100.0,5.06,178988,True,screening_passed
2024-01-04,RSSS,-100.0,2.59,16596,True,screening_passed
2024-01-04,MGRM,-100.0,3.55,25420,True,screening_passed
2024-01-04,EBMT,-100.0,15.6,11592,True,screening_passed
2024-01-04,AIRG,-100.0,3.57,28939,True,screening_passed
2024-01-04,SIF,-100.0,3.57,15160,True,screening_passed
2024-01-04,TACT,-100.0,7.35,38537,True,screening_passed
2024-01-04,AEON,-100.0,7.77,24147,True,screening_passed
2024-01-04,NESR,-100.0,7.2,922500,True,screening_passed
2024-01-04,LANDP,-100.0,18.74,14102,True,screening_passed
2024-01-04,BRT,-100.0,18.74,49366,True,screening_passed
2024-01-04,DHCNL,-100.0,15.53,15484,True,screening_passed
2024-01-04,FNWB,-100.0,15.77,16674,True,screening_passed
2024-01-04,FGBI,-100.0,12.33,17857,True,screening_passed
2024-01-04,SRZN,-100.0,10.35,24051,True,screening_passed
2024-01-04,TIL,-100.0,7.52,27174,True,screening_passed
2024-01-04,OPBK,-100.0,10.83,35336,True,screening_passed
2024-01-04,TCBIO,-100.0,18.8,17920,True,screening_passed
2024-01-04,BCTXW,inf,2.54,85643,True,screening_passed
2024-01-04,CSPI,-100.0,19.2,14453,True,screening_passed
2024-01-04,CVU,-100.0,2.82,19437,True,screening_passed
2024-01-04,LFVN,-100.0,5.84,15682,True,screening_passed
2024-01-04,HHS,-100.0,6.8,19643,True,screening_passed
2024-01-04,GENK,-100.0,7.81,10786,True,screening_passed
2024-01-04,JRSH,-100.0,3.12,16772,True,screening_passed
2024-01-04,CULP,-100.0,5.49,24092,True,screening_passed
2024-01-04,ASRV,-100.0,3.26,10170,True,screening_passed
2024-01-04,GHM,-100.0,19.24,49646,True,screening_passed
2024-01-04,BTOG,-100.0,3.76,41984,True,screening_passed
2024-01-04,EDAP,-100.0,5.1,11736,True,screening_passed
2024-01-04,FLXS,-100.0,18.8,15881,True,screening_passed
2024-01-04,TURN,-100.0,4.19,13117,True,screening_passed
2024-01-04,SWIN,-100.0,2.5,21542,True,screening_passed
2024-01-04,DLHC,-100.0,15.74,43576,True,screening_passed
2024-01-04,SRBK,-100.0,9.45,20414,True,screening_passed
2024-01-04,JSPR,923.3918128654971,6.95,77836,True,screening_passed
2024-01-04,ADSE,-100.0,7.13,14604,True,screening_passed
2024-01-04,SHIM,-100.0,6.78,25494,True,screening_passed
2024-01-04,CPSH,-100.0,2.34,16405,True,screening_passed
2024-01-04,NSTS,-100.0,9.51,15073,True,screening_passed
2024-01-04,ORN,-100.0,4.61,89465,True,screening_passed
2024-01-04,SEED,-100.0,2.01,42042,True,screening_passed
2024-01-04,HBB,-100.0,17.55,31495,True,screening_passed
2024-01-04,COYA,-100.0,7.02,29715,True,screening_passed
2024-01-04,DAIO,-100.0,3.09,15228,True,screening_passed
2024-01-04,NWGL,-100.0,8.975,24413,True,screening_passed
2024-01-04,PMEC,-100.0,2.0,33102,True,screening_passed
