date,symbol,gap,open,volume,bars,float,marketcap
2024-01-08,PODC,50.00903668895719,2.49,221926,149,,
2024-01-09,BTBD,54.97338042275051,2.94,9485975,523,,
2024-01-10,SUIG,58.620689655172406,4.6,117646,82,,
2024-01-29,BGM,59.905488913122504,4.399,4534,34,,
2024-01-30,ITRM,55.29411764705884,2.64,24510053,587,,
2024-02-05,WRAP,74.79553161779374,7.01,2079406,311,,
2024-02-08,ZJYL,66.72811059907835,18.09,1416034,459,,
2024-03-11,BRNS,50.76923076923077,3.92,83507,66,,
2024-03-15,ZEO,65.16516516516516,11.0,522929,269,,
2024-03-22,PRM,60.00000000000001,10.08,750290,253,,
2024-03-27,GCTS,53.941908713692946,11.13,4271660,491,,
2024-03-28,AKBA,50.0,3.0,61073028,898,,
